Family,Genus,Species
,Abies,
,Acacia,
,Acalypha,
,Acer,
,Agave,
,Alnus,
,Alternanthera,
Amaranthaceae,,
,Ambrosia,
Anacardiaceae,,
Apiaceae,,
,Arceuthobium,
Arecaceae,,
,Artemisia,
Asteraceae,,
,Begonia,
,Betula,
Bignoniaceae,,
Brassicaceae,,
,Brosimum,
,Bursera,
,Buxus,
,Byrsonima,
,Caesalpinia,
,Camassia,
Campanulaceae,,
Caprifoliaceae,,
,Carya,
Caryophyllaceae,,
,Casearia,
,Cassia,
,Castanea,
,Ceanothus,
,Cecropia,
,Celastrus,
,Celtis,
,,Ceratiola ericoides
,Cercocarpus,
Combretaceae,,
,Connarus,
Convolvulaceae,,
,Corylus,
,Croton,
Cupressaceae,,
,,Cyclachaena xanthiifolia
,Dodonaea,
,Ephedra,
Ericaceae,,
,Eriogonum,
,Eugenia,
Euphorbiaceae,,
Fabaceae,,
Fagaceae,,
,Ficus,
,Fraxinus,
,Galium,
Gentianaceae,,
,Gustavia,
,Hedyosmum,
,Hieronyma,
,Hymenaea,
,Ilex,
,Inga,
,Iresine,
,Iva,
,Juglans,
Lamiaceae,,
,,Leitneria floridana
Liliaceae,,
,Lindernia,
,Liquidambar,
,Lysichiton,
,Machaerium,
,Magnolia,
Malpighiaceae,,
Malvaceae,,
,Mandevilla,
Melastomataceae,,
Meliaceae,,
,Micranthes,
Moraceae,,
,Myrica,
,Myrsine,
Myrtaceae,,
,Nyssa,
Olacaceae,,
Onagraceae,,
,Opuntia,
,Ostrya,
Oxalidaceae,,
,Papaver,
,Paullinia,
,Pedicularis,
,Phlox,
,Picea,
,Pinus,
,Plantago,
Poaceae,,
Polemoniaceae,,
Polygalaceae,,
Polygonaceae,,
,Populus,
Portulacaceae,,
,Potentilla,
,Prosopis,
,Protium,
,Pseudotsuga,
,Psychotria,
,Quercus,
Ranunculaceae,,
Rhamnaceae,,
,Rhododendron,
,Rhus,
,Ribes,
Rosaceae,,
Rubiaceae,,
,Rumex,
,Sabal,
,Salix,
,Sambucus,
,Sanguisorba,
,Sapium,
,,Sarcobatus vermiculatus
Saxifragaceae,,
,Schinus,
,Serenoa,
,Spermacoce,
,Spiraea,
,Spondias,
,Stellaria,
,Taxodium,
,,Taxus brevifolia
,Thalictrum,
,Trema,
,,Tsuga heterophylla
,,Tsuga mertensiana
,Ulmus,
,Viburnum,
,Vitex,
,Vitis,
,Yucca,
,Zanthoxylum,
